Name                       Version                         Rev    Tracking         Publisher      Notes
android-studio             2026.1.4.7-quail4               242    latest/stable    snapcrafters*  classic
bare                       1.0                             5      latest/stable    canonical**    base
brave                      1.94.119                        676    latest/stable    brave**        -
canonical-livepatch        v11.0.2                         414    latest/stable    canonical**    -
chromium-ffmpeg            May18-Mar16-Feb09-Jan28-etc     118    latest/stable    canonical**    -
code                       08d4889f                        259    latest/stable    vscode**       classic
core18                     20260204                        2999   latest/stable    canonical**    base
core20                     20260410                        2866   latest/stable    canonical**    base
core22                     20260410                        2437   latest/stable    canonical**    base
core24                     20260410                        1643   latest/stable    canonical**    base
firmware-updater           0+git.5645b80                   226    1/stable/…       canonical**    -
gnome-42-2204              0+git.4982e7b-sdk0+git.69b626a  263    latest/stable    canonical**    -
gnome-46-2404              0+git.b31ceab-sdk0+git.f0723a0  164    latest/stable    canonical**    -
gtk-common-themes          0.1-81-g442e511                 1535   latest/stable/…  canonical**    -
gtk-theme-orchis           2022-07-20                      3      latest/stable    eeickmeyer     -
mesa-2404                  25.2.8-snap288                  1839   latest/stable    canonical**    -
mission-center             1.2.0                           18     latest/stable    kicsyromy      -
motes                      9.5.2                           104    latest/stable    teledep-dev    -
mysql-workbench-community  8.0.36                          13     latest/stable    tonybolzan     -
snap-store                 0+git.8334e2e4                  1390   2/stable/…       canonical**    -
snapd                      2.76.2                          27710  latest/stable    canonical**    snapd
snapd-desktop-integration  0.9                             391    latest/stable/…  canonical**    -
spotify                    1.2.95.453.g0eeebbed            99     latest/stable    spotify**      -
whatsapp-linux-app         1.2.0                           2      latest/stable    swe-himel      -
